source_id,ra,ra_error,dec,dec_error,astrometric_weight_al,radial_velocity,teff_val,radius_val,lum_val
4062322322244521344,269.6345674595545,6.045019637849491,-29.494877797010272,2.086798393840411,0.15784073,,,,
4062322902176437888,269.551135424741,0.8943403009273015,-29.476962617294912,0.828636432273745,0.058976237,,,,
4062322390962444032,269.6061537170312,0.35827900899278114,-29.48376696720353,0.291749573154929,0.33523056,,,,
4062322111902494336,269.5470681240855,7.869157307057932,-29.498762860484778,9.741425706174793,0.078447305,,,,
4062322833456449920,269.512128860907,0.8006207270713824,-29.4985585922191,0.8709315651623315,0.1236445,,,,
4062322906358937600,269.54831108023683,0.39889068594937904,-29.48964804501039,0.3630575343970519,0.28640318,,,,
4062322768866153856,269.52375036620924,0.4352351782824768,-29.502381242287772,0.4104613521937144,0.24864535,,,,
4062322390962436224,269.6061217376982,0.7017423427655282,-29.484259013249183,0.630802783201702,0.098433815,,,,
4062322871999317504,269.5289379084721,0.07331717980909631,-29.493974044776575,0.0635979420734212,63.365875,,5447.1763,1.4600756,1.6909513
4062322421141526656,269.6315209491199,0.15951707016057592,-29.475369788671074,0.13267283293621748,1.6984203,,,,
4062322975024701824,269.5321013262946,0.7097705583233247,-29.472131192989014,0.7920727439791257,0.09177421,,,,
4062322043178230144,269.56154201697115,0.4969317900658685,-29.510688446162526,0.3857693155320436,0.20705746,,,,
4062322146262202112,269.562702760134,0.8291212887599045,-29.487202765750663,0.7191130162142741,0.054812565,,,,
4062322494041846784,269.5907502372733,0.17957414459095059,-29.477085501599447,0.14999320392633553,1.338808,,,,
4062322111736552192,269.55154368814596,0.19269456758011963,-29.49761401032015,0.15642658904074577,1.1964796,,,,
4062322494043058048,269.5892810322828,0.2169358261884419,-29.479984733369132,0.17998595338877324,1.1903565,,,,
